T,b_0,b_1,theta_00,theta_01,theta_10,theta_11,sigma_sqrd_00,sigma_sqrd_01,sigma_sqrd_10,sigma_sqrd_11
100.0,1.2681002037624944,1.4619838210690967,0.0,0.0,0.0,0.0,1.1224544741015074,-0.0,-0.0,8.369034797131222
100.0,0.9510033978619332,3.11320922636882,0.0,0.0,0.0,0.0,1.1881121259863217,-0.0,-0.0,9.958523777302666
100.0,1.303774590633539,2.3088145904050617,0.0,0.0,0.0,0.0,1.1361764370078287,-0.0,-0.0,8.997104845635265
100.0,1.6301608788712458,0.5641521618769966,0.0,0.0,0.0,0.0,1.117013882289388,0.0,0.0,7.6702171694588515
100.0,0.9413267868202608,3.298289572368528,0.0,0.0,0.0,0.0,1.3025015583026396,0.0,0.0,9.30968206792184
100.0,0.2756851755238573,3.294166249285762,0.0,0.0,0.0,0.0,0.9801854586276142,0.0,0.0,8.228990017024016
100.0,0.8006600032185404,4.111464679544101,0.0,0.0,0.0,0.0,1.0042430913059928,-0.0,-0.0,10.87545214907982
100.0,0.954259722660888,3.6971521760909782,0.0,0.0,0.0,0.0,1.0864738217768062,0.0,0.0,10.029717541276273
100.0,1.400982366648157,1.7552602224481149,0.0,0.0,0.0,0.0,1.1473555182534074,0.0,0.0,9.631908158834525
100.0,0.9270523580400613,2.8795085150026822,0.0,0.0,0.0,0.0,1.1199121822600477,0.0,0.0,8.65989681095483
100.0,0.7597586354523178,1.585100080566387,0.0,0.0,0.0,0.0,1.2199137444277495,0.0,0.0,7.984781615324234
100.0,1.311710851203637,2.2062838514231635,0.0,0.0,0.0,0.0,1.0445534042478029,-0.0,-0.0,10.321314588885928
100.0,0.2974116193645374,3.7673707321684944,0.0,0.0,0.0,0.0,1.2539616109631553,0.0,0.0,9.64187056330433
100.0,1.0429128355191948,3.0583536164599554,0.0,0.0,0.0,0.0,1.3448203784259538,0.0,0.0,9.544366018170958
100.0,0.887754225350442,3.6591043508035463,0.0,0.0,0.0,0.0,1.140664921188,0.0,0.0,10.603437789885733
100.0,1.0044338810938642,3.2806380710024783,0.0,0.0,0.0,0.0,1.1528871147394513,0.0,0.0,8.010794851390104
100.0,1.1683646329379418,3.253121521297719,0.0,0.0,0.0,0.0,1.1115521953597751,-0.0,-0.0,9.215840775099677
100.0,0.4616996446921851,4.990270991140791,0.0,0.0,0.0,0.0,1.0498115152459113,-0.0,-0.0,10.283023878951767
